NO,PROC,BHH,BFH,SHH,SHL,SFH,SFL
199,4,1,15,5,3,15,0
200,4,1,18,5,2,9,0
201,4,2,10,1,7,8,0
202,4,1,15,2,2,5,0
203,4,0,12,0,4,6,0
204,4,3,18,3,4,10,0
205,4,2,14,2,7,13,0
206,4,1,13,1,4,8,0
207,4,0,17,3,0,6,0
208,4,0,12,1,0,8,0
209,4,0,19,3,2,9,0
210,4,1,14,0,1,6,0
211,4,1,13,3,4,11,1
212,4,0,15,1,1,7,0
213,4,1,16,0,3,2,0
214,4,1,15,0,3,8,0
215,4,1,4,4,5,15,2
216,4,0,20,3,2,6,0
