"","PROC","lda.LD1","lda.LD2","lda.LD3","Predicted_group","correct"
"1","1",1.86894344191353,-0.378499503077938,2.48849575234115,"1","Equal"
"2","1",1.86152537686286,-0.21496759564854,0.361103329562093,"1","Equal"
"3","1",1.77896634012289,0.834332036080522,2.0804251787634,"1","Equal"
"4","1",2.54697278471676,-0.967831436060108,6.32504610344861,"1","Equal"
"5","1",0.640556133217053,-0.439892730727499,0.728251659602067,"1","Equal"
"6","1",1.59802589367563,-0.325248867058101,2.06437410169164,"1","Equal"
"7","1",2.69169638593545,-1.33522570169932,0.0885258467328527,"2","Not Equal"
"8","1",1.69733207060338,-0.64645175439961,0.77273739502863,"1","Equal"
"9","1",0.219827246696714,1.15001206314631,-0.296290925727113,"3","Not Equal"
"10","1",2.48003964749603,-0.544168240870378,1.63510754750672,"1","Equal"
"11","1",1.50655455935713,-0.0829814062672191,0.348797228309111,"1","Equal"
"12","1",0.510894299893738,1.7822576790676,0.367360975177106,"3","Not Equal"
"13","1",2.77619041946737,-0.273003579223837,1.52021862492973,"1","Equal"
"14","1",3.30460115816166,-1.0343264177391,-0.600973434288286,"2","Not Equal"
"15","1",-1.18446625154039,0.102377757836656,0.183750039537872,"3","Not Equal"
"16","1",3.53182030571856,-1.16205464387131,1.17263155548974,"1","Equal"
"17","1",1.34813922042904,-0.762197625873522,-0.391630774513141,"1","Equal"
"18","1",0.549797176743473,-0.0220535557291305,0.564973775699041,"1","Equal"
"19","1",2.70574517487213,-1.83915720801018,0.386308472034546,"2","Not Equal"
"20","1",0.234785729006152,1.93142657621449,1.81329741259155,"3","Not Equal"
"21","1",2.29650418612226,-0.270463834846446,-0.167702535604151,"1","Equal"
"22","1",1.04018913684177,0.540367004868601,0.392471958938922,"1","Equal"
"23","1",3.85243340018112,-1.97241096603043,-0.627913358263273,"2","Not Equal"
"24","1",-0.413550302773435,0.600986691281135,1.07563569911645,"3","Not Equal"
"25","1",2.8134006631118,-0.35182124691111,0.776082412295428,"1","Equal"
"26","1",3.06507672030737,-0.272633033896379,4.71725141003025,"1","Equal"
"27","1",2.44148476983473,0.161963715394544,0.518661965272568,"1","Equal"
"28","1",1.5002058716172,0.74718711119393,-0.438589186991998,"1","Equal"
"29","1",0.820190819859363,0.561689181420334,0.91327257872066,"1","Equal"
"30","1",1.88672163333647,1.48904032860945,-1.26376939842183,"1","Equal"
"31","1",1.51191914702658,1.11745565118374,0.475575132742174,"1","Equal"
"32","1",2.75669626461629,-0.623919459899844,-0.980421107728175,"2","Not Equal"
"33","1",1.43756534890454,1.08628389771598,0.839008155022368,"1","Equal"
"34","1",2.07720398203885,-0.393006485374706,-0.175724584623138,"1","Equal"
"35","1",2.75150252268342,0.290852225218973,1.80351636897469,"1","Equal"
"36","1",2.87017279061531,-0.349205774680596,-0.119616724063172,"2","Not Equal"
"37","1",2.72488033072151,-0.358561011337441,5.32745546750278,"1","Equal"
"38","1",2.84943449740732,-0.882945208996198,-0.30349146600771,"2","Not Equal"
"39","1",1.39537377248628,-0.3185161957326,0.0552578609887363,"1","Equal"
"40","1",1.66644203054991,0.316756321255293,0.127026334847303,"1","Equal"
"41","1",3.14402492369303,-0.599483823560405,-0.0358287216317494,"2","Not Equal"
"42","1",1.8985708485104,0.206726993931152,0.618900708989378,"1","Equal"
"43","1",2.75350705047581,0.477846688056467,2.51938049797686,"1","Equal"
"44","1",0.722668881553583,1.5360287899994,2.27509914865515,"1","Equal"
"45","1",2.59891150751494,0.12029303816602,-0.355516479343205,"1","Equal"
"46","1",2.65095210003991,-0.445716394549294,0.731649848289965,"1","Equal"
"47","1",1.20942521928957,0.0430462207247761,0.424982845826569,"1","Equal"
"48","1",3.43219789796705,-0.869214239694456,2.77883023719123,"1","Equal"
"49","1",2.10108837623502,0.554748362941827,1.11627387617517,"1","Equal"
"50","1",1.82916774396416,0.743083594580035,-1.44922429395452,"2","Not Equal"
"51","1",1.68424996519275,0.870430015881051,0.838880706236537,"1","Equal"
"52","2",2.08667952343163,-0.0538849395210715,-0.109894221542944,"1","Not Equal"
"53","2",2.82081036130552,-1.72293395190886,-0.494054711240174,"2","Equal"
"54","2",2.00753375700324,-1.19757294313511,0.383402027942551,"1","Not Equal"
"55","2",3.25589604146661,-0.991453760775108,0.137237189424395,"2","Equal"
"56","2",3.6566887140422,-1.35627733919468,-0.0843072287050017,"2","Equal"
"57","2",3.46699101818217,-0.684883781480807,-1.34502995667706,"2","Equal"
"58","2",3.58705705695583,-1.42923807676924,-1.97227158670271,"2","Equal"
"59","2",2.56050467643259,-1.72348748067736,-1.38512755560459,"2","Equal"
"60","2",2.56561360261497,-2.2490306478645,-0.947483668065027,"2","Equal"
"61","2",2.87058261084272,-0.781789521741146,-1.25220098919642,"2","Equal"
"62","2",3.49427109183832,-2.03998422063738,-0.856460338256972,"2","Equal"
"63","2",0.640651736694924,1.33511502943283,0.0178330980597198,"3","Not Equal"
"64","2",2.71362903147531,-1.02563050780513,0.600126074851438,"1","Not Equal"
"65","2",2.68358664792268,-0.34039729470363,-0.930905034405261,"2","Equal"
"66","2",2.19180483392341,-1.35656421944115,-1.06273926141638,"2","Equal"
"67","2",2.79753517296367,-1.39957957015399,-0.340704139044874,"2","Equal"
"68","2",2.99283186001621,-0.824623266303625,1.67127114991449,"1","Not Equal"
"69","2",4.38034894034443,-1.80261648029484,-0.652273175801202,"2","Equal"
"70","2",3.49365290803468,-0.361936490364156,-0.0730053415423442,"2","Equal"
"71","2",2.88622600246426,-0.233969017950563,-3.14823545774268,"2","Equal"
